64.40.96.0 64.40.118.255 CA  
64.40.119.0 64.40.120.255 US  
64.40.121.0 64.40.127.255 CA  
64.40.128.0 64.40.175.255 US  
64.40.176.0 64.40.191.255 CA  
64.40.192.0 64.40.229.255 US  
64.40.230.0 64.40.230.48 GB  
64.40.230.50 64.40.230.255 GB  
64.40.231.0 64.40.239.255 US  
64.40.240.0 64.40.255.255 CA  
64.41.0.0 64.42.191.255 US  
64.42.192.0 64.42.255.255 CA  
64.43.0.0 64.43.255.255 US  
64.45.0.0 64.45.255.255 US  
64.46.0.0 64.46.63.255 CA  
64.46.64.0 64.47.111.255 US  
64.47.112.0 64.47.112.255 CA  
64.47.113.0 64.47.227.255 US  
64.47.228.0 64.47.228.255 CH  
64.47.229.0 64.47.229.255 GB  
64.47.230.0 64.50.143.255 US  
64.50.144.0 64.50.159.255 CA  
64.50.160.0 64.56.127.255 US  
64.56.128.0 64.56.159.255 CA  
64.56.160.0 64.56.191.255 JP  
64.56.192.0 64.56.223.255 US  
64.56.224.0 64.56.255.255 CA  
64.57.0.0 64.57.111.255 US  
64.57.112.0 64.57.127.255 LS  
64.57.128.0 64.57.135.255 US  
64.57.136.0 64.57.143.255 SE  
64.57.144.0 64.59.127.255 US  
64.59.128.0 64.59.191.255 CA  
64.59.192.0 64.62.140.255 US  
64.62.141.0 64.62.141.255 GB  
64.62.142.0 64.62.169.255 US  
64.62.170.0 64.62.170.255 GR  
64.62.171.0 64.62.203.255 US  
64.62.204.0 64.62.204.255 FR  
64.62.205.0 64.62.237.255 US  
64.62.238.0 64.62.238.255 CA  
64.62.239.0 64.64.107.255 US  
64.64.108.0 64.64.108.255 JP  
64.64.109.0 64.64.120.255 US  
64.64.121.0 64.64.121.255 CA  
64.64.122.0 64.64.122.255 US  
64.64.123.0 64.64.123.255 GB  
64.64.124.0 64.64.159.255 US  
64.64.160.0 64.64.191.255 CA  
64.64.192.0 64.64.223.255 US  
64.64.224.0 64.64.255.255 CA  
64.65.0.0 64.65.247.143 US  
64.65.247.144 64.65.247.151 CA  
64.65.247.152 64.65.255.255 US  
64.66.0.0 64.66.15.255 BS  
64.66.16.0 64.66.31.255 CA  
64.66.32.0 64.66.223.255 US  
64.66.224.0 64.66.239.255 CA  
64.66.240.0 64.68.191.255 US  
64.68.192.0 64.68.207.255 CA  
64.68.208.0 64.69.63.255 US  
64.69.64.0 64.69.64.255 CA  
64.69.65.0 64.69.65.127 US  
64.69.65.128 64.69.65.135 CA  
64.69.65.136 64.69.67.111 US  
64.69.67.112 64.69.67.119 CA  
64.69.67.120 64.69.68.84 US  
64.69.68.85 64.69.68.85 CA  
64.69.68.86 64.69.69.39 US  
64.69.69.40 64.69.69.47 CA  
64.69.69.48 64.69.69.127 US  
64.69.69.128 64.69.69.191 CA  
64.69.69.192 64.69.69.255 US  
64.69.70.0 64.69.70.7 CA  
64.69.70.8 64.69.71.255 US  
64.69.72.0 64.69.75.7 CA  
64.69.75.8 64.69.78.55 US  
64.69.78.56 64.69.78.63 CA  
64.69.78.64 64.69.78.255 US  
64.69.79.0 64.69.79.255 CA  
64.69.80.0 64.69.80.191 US  
64.69.80.192 64.69.80.255 CA  
64.69.81.0 64.69.81.159 US  
64.69.81.160 64.69.81.175 CA  
64.69.81.176 64.69.81.191 US  
64.69.81.192 64.69.81.207 CA  
64.69.81.208 64.69.82.63 US  
64.69.82.64 64.69.82.191 CA  
